索引,公司名稱,公司網址,職缺名稱,職缺網址,所需技能
66,昱峰智能大數據科技股份有限公司,https://www.104.com.tw/company/1a2x6bkbn6?jobsource=2018indexpoc,RD後端工程師,https://www.104.com.tw/job/5x0lo?jobsource=2018indexpoc,Linux Windows Server 2012 SDLC Systems Analysis Python ANSI SQL MySQL RDBMS JavaScript Excel Word 
67,震旦集團_震旦行股份有限公司,https://www.104.com.tw/company/1n0j728?jobsource=jolist_c_relevance,系統分析師,https://www.104.com.tw/job/40d2u?jobsource=jolist_c_relevance,
68,TutorABC_麥奇數位股份有限公司,https://www.104.com.tw/company/1134yk9s?jobsource=2018indexpoc,G0011_大數據分析師,https://www.104.com.tw/job/337bp?jobsource=2018indexpoc,MS SQL Excel PowerPoint Visio 
69,天來數位股份有限公司,https://www.104.com.tw/company/1a2x6bjrwd?jobsource=2018indexpoc,JAVA開發工程師(新竹市),https://www.104.com.tw/job/6wcqm?jobsource=2018indexpoc,ASP.NET C# Java HTML 
70,長佳智能股份有限公司,https://www.104.com.tw/company/1a2x6bkoxb?jobsource=jolist_c_relevance,大數據平台業務專員,https://www.104.com.tw/job/6wta6?jobsource=jolist_c_relevance,Excel PowerPoint Word 
71,泰金寶電通股份有限公司,https://www.104.com.tw/company/co509rs?jobsource=jolist_c_relevance,RC-數據工程師,https://www.104.com.tw/job/6pt7b?jobsource=jolist_c_relevance,
72,群益金鼎證券股份有限公司,https://www.104.com.tw/company/ajnfhyw?jobsource=jolist_c_relevance,【資訊-擴大徵才】軟體設計/程式設計人員 - C/C++、C#、ASP.NET、WEB、APP Developer,https://www.104.com.tw/job/6uwo7?jobsource=jolist_c_relevance,ASP.NET C C# C++ MS SQL HTML jQuery CSS 
73,上銀科技股份有限公司,https://www.104.com.tw/company/asp3v4o?jobsource=jolist_c_relevance,(台中)ERP/MES程式設計師,https://www.104.com.tw/job/27g5r?jobsource=jolist_c_relevance,
74,國立中山大學_資訊工程學系,https://www.104.com.tw/company/1a2x6bibbu?jobsource=jolist_c_relevance,軟體研發研究員 / 中山大學數位內容及多媒體技術研究中心,https://www.104.com.tw/job/4cd5n?jobsource=jolist_c_relevance,Linux C++ PHP MySQL HTML JavaScript jQuery CSS 
75,童綜合醫療社團法人童綜合醫院,https://www.104.com.tw/company/kw8xsls?jobsource=2018indexpoc,童綜合醫院資料分析師,https://www.104.com.tw/job/6t08n?jobsource=2018indexpoc,
76,宇清數位智慧股份有限公司,https://www.104.com.tw/company/1a2x6bi7jh?jobsource=2018indexpoc,軟體工程師,https://www.104.com.tw/job/6o3gp?jobsource=2018indexpoc,C# C++ Python Visual C# Visual C++ MS SQL Oracle PL/SQL PostgreSQL 
77,脫普聚益股份有限公司,https://www.104.com.tw/company/21nuubs?jobsource=jolist_c_relevance,大陸地區-大數據專案特助,https://www.104.com.tw/job/5r7ve?jobsource=jolist_c_relevance,
78,欣興電子股份有限公司,https://www.104.com.tw/company/at8e1vc?jobsource=2018indexpoc,**桃園楊梅新廠** 強力徵求~~ 研發/製程/製程整合/製造/設備/大數據 工程師/高級工程師/儲備幹部,https://www.104.com.tw/job/6w7i7?jobsource=2018indexpoc,Excel Outlook PowerPoint Word 
79,晶峰科技有限公司,https://www.104.com.tw/company/1a2x6bkajh?jobsource=jolist_c_relevance,Golang開發工程師(大數據團隊),https://www.104.com.tw/job/6rp3x?jobsource=jolist_c_relevance,Go MySQL 
80,富智康國際股份有限公司(鴻海集團),https://www.104.com.tw/company/112t1ia8?jobsource=2018indexpoc,【S】Android BSP 研發軟體工程師(新竹),https://www.104.com.tw/job/6qcfd?jobsource=2018indexpoc,Linux Android C C++ 
81,國泰世華商業銀行股份有限公司_人力資源部,https://www.104.com.tw/company/1xzkino?jobsource=2018indexpoc,【風管】企金信用風險模型專業人員,https://www.104.com.tw/job/6ilyj?jobsource=2018indexpoc,ANSI SQL MS SQL PL/SQL SAS 
82,新加坡商第一企劃行銷股份有限公司台灣分公司,https://www.104.com.tw/company/ocmvxwg?jobsource=2018indexpoc,Account Director 業務總監,https://www.104.com.tw/job/63yib?jobsource=2018indexpoc,
83,精誠隨想行動科技股份有限公司,https://www.104.com.tw/company/1a2x6bind7?jobsource=jolist_c_relevance,大數據實施工程師,https://www.104.com.tw/job/6vjv9?jobsource=jolist_c_relevance,
84,遊戲大麥股份有限公司,https://www.104.com.tw/company/1a2x6bko79?jobsource=2018indexpoc,PHP開發技術人員,https://www.104.com.tw/job/6f6ke?jobsource=2018indexpoc,PHP 
85,光研智能股份有限公司,https://www.104.com.tw/company/1a2x6bkqi9?jobsource=jolist_c_relevance,專案經理PM(Project Manager),https://www.104.com.tw/job/6qiwp?jobsource=jolist_c_relevance,Excel Outlook PowerPoint Word 
86,亞太電信股份有限公司,https://www.104.com.tw/company/wifkjug?jobsource=jolist_c_relevance,【AIOT】BDM(Business Development Manager)／智慧物聯網事業發展主管,https://www.104.com.tw/job/6ns1i?jobsource=jolist_c_relevance,
87,華碩電腦股份有限公司,https://www.104.com.tw/company/auxx12g?jobsource=2018indexpoc,AD30064 運籌系統分析師,https://www.104.com.tw/job/4bcxj?jobsource=2018indexpoc,VBA Oracle 
88,氪龍有限公司,https://www.104.com.tw/company/1a2x6bkokl?jobsource=jolist_c_relevance,golang遊戲後端工程師,https://www.104.com.tw/job/6fh0z?jobsource=jolist_c_relevance,Go 
89,浚鴻數據開發股份有限公司,https://www.104.com.tw/company/1a2x6bjck7?jobsource=2018indexpoc,巨量數據分析師,https://www.104.com.tw/job/625op?jobsource=2018indexpoc,
90,緯穎科技服務股份有限公司,https://www.104.com.tw/company/onw9tj4?jobsource=jolist_c_relevance,B0J0-SFCS/MES IT工程師(台南),https://www.104.com.tw/job/6h967?jobsource=jolist_c_relevance,Linux Windows Server 2012 Oracle 
91,歐立威科技股份有限公司,https://www.104.com.tw/company/b8gl75c?jobsource=2018indexpoc,資料倉儲工程師 (資料庫/大數據/巨量資料/資料倉儲)  (新鮮人可),https://www.104.com.tw/job/6r2nr?jobsource=2018indexpoc,
92,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=jolist_c_relevance,Junior Backend Engineer (RTB),https://www.104.com.tw/job/6pu6b?jobsource=jolist_c_relevance,Linux C Java Scala 
93,美商視龍有限公司台灣分公司,https://www.104.com.tw/company/1a2x6bj31u?jobsource=jolist_c_relevance,大數據軟體工程師 (月薪8萬-20萬),https://www.104.com.tw/job/4qqjx?jobsource=jolist_c_relevance,C++ Java JavaScript 
94,中國醫藥大學附設醫院,https://www.104.com.tw/company/o5x51w0?jobsource=2018indexpoc,10R0 大數據中心-大數據工程師,https://www.104.com.tw/job/5dnio?jobsource=2018indexpoc,Python 
95,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,【Vpon HK】Account Executive,https://www.104.com.tw/job/5ql8i?jobsource=2018indexpoc,
96,信源企業股份有限公司,https://www.104.com.tw/company/arqet2w?jobsource=jolist_c_relevance,【儲備主管】科技資源整合中心儲備主管,https://www.104.com.tw/job/6gnjp?jobsource=jolist_c_relevance,
97,義隆電子股份有限公司,https://www.104.com.tw/company/12no9wsg?jobsource=2018indexpoc,《D-04》系統應用工程師,https://www.104.com.tw/job/6s2hm?jobsource=2018indexpoc,C Python 
98,國泰金控_國泰金融控股股份有限公司,https://www.104.com.tw/company/wjct48g?jobsource=2018indexpoc,"海外數據規劃師(數數發中心, DDT)",https://www.104.com.tw/job/6n1eb?jobsource=2018indexpoc,
99,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,廣告創意企劃Creative Planner,https://www.104.com.tw/job/6hsbw?jobsource=2018indexpoc,Excel PowerPoint Word Adobe Photoshop 
100,唐和股份有限公司,https://www.104.com.tw/company/an0809k?jobsource=jolist_c_relevance,新部門 業務專員,https://www.104.com.tw/job/6wu8e?jobsource=jolist_c_relevance,
101,利勤實業股份有限公司,https://www.104.com.tw/company/7gehdxk?jobsource=2018indexpoc,儲備幹部-經營幕僚 A3CEO002,https://www.104.com.tw/job/6v83n?jobsource=2018indexpoc,
102,光寶科技股份有限公司,https://www.104.com.tw/company/aqae7i0?jobsource=2018indexpoc,Corp MOE-PQE (高雄),https://www.104.com.tw/job/6wuw3?jobsource=2018indexpoc,Excel Outlook PowerPoint Word 
103,格明數位媒體有限公司,https://www.104.com.tw/company/1a2x6bju8m?jobsource=2018indexpoc,Python演算法工程師 (Text Mining/ Data Crawler),https://www.104.com.tw/job/6o3fa?jobsource=2018indexpoc,Python 
104,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc?jobsource=jolist_c_relevance,資料工讀生(長期工讀),https://www.104.com.tw/job/58je6?jobsource=jolist_c_relevance,
105,台灣樂天市場股份有限公司,https://www.104.com.tw/company/d92vp28?jobsource=2018indexpoc,【日商樂天】系統資料處理助理(DEV),https://www.104.com.tw/job/6uno1?jobsource=2018indexpoc,
106,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,R&D Manager,https://www.104.com.tw/job/6d9c8?jobsource=2018indexpoc,
107,幣丞科技有限公司,https://www.104.com.tw/company/1a2x6bl01m?jobsource=jolist_c_relevance,Back-end Engineer 後端開發工程師 [台北],https://www.104.com.tw/job/6tdu8?jobsource=jolist_c_relevance,Java 
108,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc?jobsource=jolist_c_relevance,行政人員,https://www.104.com.tw/job/6vc13?jobsource=jolist_c_relevance,Excel Word 
109,晶峰科技有限公司,https://www.104.com.tw/company/1a2x6bkajh?jobsource=jolist_c_relevance,系統分析師SA(大數據團隊),https://www.104.com.tw/job/6vafb?jobsource=jolist_c_relevance,
110,晶峰科技有限公司,https://www.104.com.tw/company/1a2x6bkajh?jobsource=jolist_c_relevance,Java工程師,https://www.104.com.tw/job/5umex?jobsource=jolist_c_relevance,Java Spring MySQL 
111,聯強國際股份有限公司,https://www.104.com.tw/company/aldnfbc?jobsource=2018indexpoc,集團總部供應鏈大數據管理專員(全球第二大IT通路集團),https://www.104.com.tw/job/2tv5q?jobsource=2018indexpoc,
112,宏碁股份有限公司,https://www.104.com.tw/company/9kgoqw8?jobsource=2018indexpoc,【RD】軟體工程師 - 1900546,https://www.104.com.tw/job/6q0hv?jobsource=2018indexpoc,
113,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,行銷專員/公關專員,https://www.104.com.tw/job/6wbv3?jobsource=2018indexpoc,Excel PowerPoint Word 
114,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,【Vpon HK】Regional Business Development Manager,https://www.104.com.tw/job/6cx3b?jobsource=2018indexpoc,
115,零壹科技股份有限公司_Zero One Tech,https://www.104.com.tw/company/e7ef0go?jobsource=jolist_c_relevance,業務專員-備份及大數據產品Veritas & Splunk(BU1),https://www.104.com.tw/job/6vttv?jobsource=jolist_c_relevance,
116,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,Data Business Development Manager,https://www.104.com.tw/job/6tqji?jobsource=2018indexpoc,
117,三商美邦人壽保險股份有限公司_總公司,https://www.104.com.tw/company/12sjgn88?jobsource=jolist_c_relevance,總公司資訊開發一部人員,https://www.104.com.tw/job/6ukpf?jobsource=jolist_c_relevance,
118,STORM CRM Consulting Inc._伺動行銷科技股份有限公司,https://www.104.com.tw/company/5ymdwls?jobsource=2018indexpoc,"總監, 顧問服務部",https://www.104.com.tw/job/4dv7f?jobsource=2018indexpoc,
119,SING_萬寶隆空間設計開發有限公司,https://www.104.com.tw/company/1a2x6bicjz?jobsource=jolist_c_relevance,報價管理儲備幹部,https://www.104.com.tw/job/6uqfy?jobsource=jolist_c_relevance,
120,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,DevOps Engineer(Ad Network),https://www.104.com.tw/job/5bdms?jobsource=2018indexpoc,
121,晶峰科技有限公司,https://www.104.com.tw/company/1a2x6bkajh?jobsource=jolist_c_relevance,大數據產品經理 (Big Data Product Manager) – 信用風險,https://www.104.com.tw/job/6taz0?jobsource=jolist_c_relevance,UML 
122,國泰金控_國泰金融控股股份有限公司,https://www.104.com.tw/company/wjct48g?jobsource=jolist_c_relevance,【金融科法人才培育實習計畫】法律法務實習生,https://www.104.com.tw/job/6u95e?jobsource=jolist_c_relevance,
123,華碩雲端股份有限公司,https://www.104.com.tw/company/wekjlls?jobsource=jolist_c_relevance,國際商務開發業務,https://www.104.com.tw/job/6gdl9?jobsource=jolist_c_relevance,
124,大拇哥證券投資顧問股份有限公司,https://www.104.com.tw/company/1a2x6bjxd3?jobsource=2018indexpoc,金融數據工程師/ Data Engineer,https://www.104.com.tw/job/6w3cn?jobsource=2018indexpoc,Python MS SQL Excel 
125,東森購物_電視購物_東森得易購股份有限公司,https://www.104.com.tw/company/abdz5yx?jobsource=jolist_c_relevance,資深工程師(研發中心),https://www.104.com.tw/job/6ksuo?jobsource=jolist_c_relevance,
126,德翔海運股份有限公司,https://www.104.com.tw/company/ckglx1c?jobsource=2018indexpoc,資訊專員,https://www.104.com.tw/job/5ofza?jobsource=2018indexpoc,Oracle Forms ASP.NET Delphi Developer/ Designer 2000 Visual Studio .net MS SQL Oracle PL/SQL 
